일자,장소,인물,대사,화면 연출,배경음악,표정,비고,퀘스트,퀘스트 내용
1일차 낮,카페,바이올렛,아! 달링 이것 봐~ 얼음도 가져오셨어. 원두랑 얼음을 구매하자.,치타 상점 화면 ,,웃음,,,
1일차 낮,카페,바이올렛,일단 달링은 지금 돈이 없으니까~ 달링의 성공적인 카페 운영을 기원하는 의미에서 내가 빌려주도록 할게!,소지금 +500빈,,,,,
1일차 낮,카페,바이올렛,소지금은 여기서 확인할 수 있어.,소지금 외곽선 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,파이아,구매해 줘서 고마워.,카페화면,달칵 효과음,웃음,,,
1일차 낮,카페,파이아,아까 내가 창문에서 튀어나와서 많이 놀랐지? 미안. 다음부터는 기차 발코니로 방문할게. ,,,,,,
1일차 낮,카페,파이아,"자, 그럼 우리 또 보자 솔!",,,웃음,,,
1일차 낮,카페,나레이션,"파이아는 자신이 들어온 창문을 다시 열더니, 달리는 기차 밖으로 뛰어나간다.",,철컥. 창문 열리는 소리 + 바람 소리,,,,
1일차 낮,카페,솔,...그러니까 이 기차를 따라잡을 만한 속도로 달린다는 거지?,혼잣말(연한 글씨 색),,놀람,,,
1일차 낮,카페,바이올렛 ,"자 그럼 다시 제작창으로 돌아가 볼까, 달링?",커피 포트 외곽선 반짝거림,띠롱띠롱 효과음,웃음,,,
1일차 낮,카페,바이올렛,이제 원두가 있으니 에스프레소를 추출할 수 있어! ,음료 제작창 화면,달칵 효과음,,,,
1일차 낮,카페,바이올렛,여기 맨 왼쪽 초록색 추출 버튼을 누르면 돼.,추출 버튼 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,그럼 이렇게 에스프레소가 나와. 에스프레소를 주문하는 손님에게는 이걸 컵에 담아 드리면 되겠지?,에스프레소 추출 애니메이션,원두 갈리는 소리,,,,
1일차 낮,카페,바이올렛,"만들려는 음료가 따뜻한 음료면 핫 전용 컵, 차가운 음료면 아이스 전용 컵을 선택해서 이곳에 끌어다 놓으면 돼.",제작창-섞이는 애니메이션 뜨는 칸이 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,음~ 지금은 테스트로 아이스 아메리카노를 만들어 보자 달링.,제작창-아이스 전용 컵 칸이 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,컵을 놓고 나서 오른쪽 재료 칸에서 필요한 재료를 넣으면 돼~ ,제작창-재료 칸이 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,달링이 파이아 씨에게서 산 재료도 여기에서 확인할 수 있어!,제작창-재료 칸이 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,아이스 아메리카노는 물과 얼음이 있으면 만들 수 있어. 꺼낸 컵에 필요한 재료를 넣어 봐.,"제작창-재료 칸-물,얼음이 반짝거림",띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,그리고 여기에 아까 추출해 둔 에스프레소를 넣고,제작창-추출 칸-에스프레소가 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,오른쪽 하단의 제작 버튼을 누르면?,제작창-제작 버튼 반짝거림,띠롱띠롱 효과음,,,,
1일차 낮,카페,바이올렛,,제작창 섞이는 애니메이션,섞이는 소리(믹서기 소리 같은),,,,
1일차 낮,카페,바이올렛,짜잔! 달링의 첫 아이스 아메리카노 완성이야!,아이스 아메리카노 일러스트,뾰로롱 효과음,,,,
1일차 낮,카페,바이올렛,어때? 어렵지 않지? 우리 달링은 곧잘 할 수 있을 거야~,카페 화면,,,,,
1일차 낮,카페,바이올렛,재료가 늘어나면 그만큼 만들 수 있는 음료도 다양해져. ,,,,,,
1일차 낮,카페,바이올렛,파이아 씨는 언제 찾아와줄지 모르는 귀한 손님이니까 파이아 씨가 왔다는 소식이 들리면 꼭 만나러 가 봐~,,,,,,
1일차 낮,카페,바이올렛,내가 알려줄 수 있는 건 여기까지~!,,,웃음,,,
