일자,장소,인물,대사,화면,배경음악,표정,비고,퀘스트,퀘스트 내용
3일차 밤,정원,레이비야크,좋은 꿈 꾸시길,,,,,,
4일차 아침,객실,나레이션,(객실 자동 이동),,,,,,
4일차 아침,객실,나레이션,띠띠띠,,시계 알람 소리,,,,
4일차 아침,객실,솔,으...시끄러워.,,,일반,,,
4일차 아침,객실,나레이션,띠띠띠,,시계 알람 소리,,,,
4일차 아침,객실,솔,"알겠어, 알겠다고. 일어날게.",,탁 효과음 (알람 끄는 소리),일반,,,
4일차 아침,객실,나레이션,지금은 일할 시간이야.,,,,카페 외 다른 곳으로 이동 시,,
4일차 낮,카페,,,,카페 bgm,,카운터 진입 시 1인칭으로 전환,,
4일차 낮,카페,,랜덤 등장인물 룸서비스 주문 3건,,,,3건,,
4일차 낮,카페,,,,,,,,
4일차 낮,카페,나레이션,주문 2건이 들어왔다,,,,2건,,
4일차 낮,카페,,,,,,,,
4일차 낮,카페,루카스,...안녕하세요. 에스프레소 한 잔... 부탁드립니다.,,,곤란,에스프레소 3,,
4일차 낮,카페,,,음료제작,,,음료제작,,
4일차 낮,카페,루카스,…오늘도…혹시 누군가를 찾는 분은 없었나요?,,,곤란,,,
4일차 낮,카페,솔,"…네, 딱히 짐작 가는 분은 없네요.",,,일반,,,
4일차 낮,카페,루카스, …감사합니다.,,,찡그림,,,
4일차 낮,카페,루카스,괜히 귀찮게 해드려서 죄송해요.,,,곤란,,,
4일차 낮,카페,솔,"귀찮지는 않고요, 무슨 일인지 궁금하기는 하네요.",,,웃음,,,
4일차 낮,카페,솔,나중에라도 무슨 일인지 말해줄 수 있나요?,,,웃음,,,
4일차 낮,카페,루카스,…네! 그럴게요.,,,일반,대사 이후 루카스 상반신 일러스트 사라짐,,
4일차 낮,카페,나레이션,주문 3건이 들어왔다,,,,3건,,
4일차 낮,카페,,,,,,,,
4일차 낮,카페,슬로우,"큼, 아이스 아메리카노 한 잔 부탁하네.",,,일반,아메리카노 4 -아이스,,
4일차 낮,카페,,,음료제작창,,,음료 제작,,
4일차 낮,카페,솔,…슬로우 님.,,,당황,,,
4일차 낮,카페,슬로우,?,,,일반,,,
4일차 낮,카페,슬로우,왜 부르는 겐가.,,,일반,,,
4일차 낮,카페,솔,혹시 누군가를 죽일 계획을 세우고 계신가요?,,,당황,,,
4일차 낮,카페,슬로우,자네가 그걸 어떻게 알고 있나?,,,당황,,,
4일차 낮,카페,솔,가이님께서 알려주셨어요.,,,당황,,,
4일차 낮,카페,솔,그리고 이유를 여쭤보라고 하시던데요.,,,당황,,,
4일차 낮,카페,슬로우,"허, 참! 그자가 하루빨리 간을 내주고 싶어 안달이 났구만!",,,화남,,,
4일차 낮,카페,슬로우,이유는 아주 중대한 임무를 맡았기 때문이네.,,,화남,,,
4일차 낮,카페,슬로우,내 고향에 용왕님 한 분이 계신다네.,,,화남,,,
4일차 낮,카페,슬로우,그분이 몇 달 전부터 정체 모를 병을 앓고 있다네.,,,화남,,,
4일차 낮,카페,슬로우,토끼의 간으로 치료할 수 있다는 소식이 들려와 내 직접 그것을 구하러 육지로 올라오게 된 것이라네.,,,화남,,,
4일차 낮,카페,솔,…아~네. 그런 소문이…돌았군요.,,,웃음,,,
4일차 낮,카페,슬로우,그리고 내가 처음 만난 토끼가 바로 가이 저 자라네.,,,화남,,,
4일차 낮,카페,슬로우,저자가 간을 주겠다고 해놓고는 자기 간을 다른 곳에 놓고 왔다고 하더군.,,,화남,,,
4일차 낮,카페,슬로우,그러고는 그걸 가지러 간다면서 도망쳐 버렸지!,,,화남,,,
4일차 낮,카페,슬로우,운 좋게 다시 마주쳤을 때는 나에게 뭐라고 했는지 아나?,,,화남,,,
4일차 낮,카페,솔,뭐라고 하셨는데요?,,,웃음,,,
4일차 낮,카페,슬로우,"""자네는 간을 빼놓고 다닌다는 말을 정말로 믿은 겐가?",,,화남,,,
4일차 낮,카페,슬로우,"하핫, 이거 참 어이가 없을 정도로 웃긴 자라일세.""",,,화남,,,
4일차 낮,카페,솔,…,,,웃음,,,
4일차 낮,카페,슬로우,그자는…아주 악랄하게 나를 가지고 놀았네.,,,화남,,,
4일차 낮,카페,솔,네~… 정말 나빴네요.,,,웃음,,,
4일차 낮,카페,슬로우,그래서 저자가 이 기차에 탄다는 걸 알자마자 따라왔다네.,,,화남,,,
4일차 낮,카페,슬로우,이 기차에서 나는 이번에야말로 토끼 간을 얻어갈 생각이라네.,,,화남,,,
4일차 낮,카페,솔,"그래도 슬로우 님, 살아있는 토끼의 간을 빼는 건…너무 잔인하지 않을까요?",,,웃음,,,
4일차 낮,카페,슬로우,"그, 그렇지만 나는 해야 한다네. 그것을 구해 가야만 해.",,,당황,,,
4일차 낮,카페,나레이션,슬로우는 불편한 듯한 표정을 지으며 자리를 떠난다.,,,,슬로우 상반신 일러스트 사라짐,,
4일차 낮,카페,나레이션,어딘가 웃기면서도 한편으로는 안타까운 마음이 든다.,,,,,,
4일차 낮,카페,솔,...오늘은 여기까지 하자.,,,일반,카운터 벗어나서 3인칭으로 복귀,,
4일차 낮,카페,나레이션,"아아, 안내 말씀 드립니다.",,,,,,
4일차 낮,카페,나레이션,"잠시 후, 특별 상점이 오픈 될 예정이오니, ",,,,,,
4일차 낮,카페,나레이션,구매가 필요하신 분들은 발코니로 모여주시기 바랍니다.,,,,,,
4일차 낮,카페,나레이션,"이상, 안내 말씀드렸습니다.",,,,,,
4일차 낮,카페,나레이션,"루나 익스프레스 승객 여러분, 좋은 하루 되시길 바라겠습니다. ",,,,,,
4일차 밤,정원,,,,,,,,
4일차 밤,정원,레이비야크,...,,,,,,
4일차 밤,정원,솔,무슨 생각을 저렇게 골똘히 하시는 걸까?,,,,,,
4일차 밤,정원,솔,뭔가 방해하면 안 될 것 같아,,,,,,
4일차 밤,카페,,,,,,,,
4일차 밤,카페,바이올렛,(음표),,,,,,
4일차 밤,카페,솔,바이올렛은 공연 때문에 바빠 보여,,,,,,
4일차 밤,카페,솔,방해하지 말자,,,,,,
4일차 밤,발코니,,특별상점,특별상점,,,플레이어가 4일차 특별상점에서 티세트를 먼저 샀는지 우유를 먼저 샀는지에 따라 랜덤으로 등장하는 메뉴가 달라집니다. ,,
4일차 밤,발코니,파이아,오? 솔 왔구나!,,바이크 소리,일반,발코니 방문 시,,
4일차 밤,발코니,파이아,오랜만이야. 그동안 잘 지냈어?,,,일반,,,
4일차 밤,발코니,솔,네. 가져다주신 원두 덕분에 카페 운영에 차질이 없었어요. 감사해요.,,,일반,,,
4일차 밤,발코니,파이아,"하하, 그래그래. 그런데 그런 거 말고 너의 상태는 어떠냐는 말이었어.",,,웃음,,,
4일차 밤,발코니,솔,? 저는...그럭저럭 괜찮아요. 별일 없었어요.,,,당황,,,
4일차 밤,발코니,파이아,그럼 됐어. 카페 운영하다 재밌는 일 생기면 나한테 말해주기다?,,,웃음,,,
4일차 밤,발코니,솔,하하 네. 그럴게요.,,,웃음,,,
4일차 밤,발코니,솔,(치타 상점 창 오픈),,,,치타 상점,,
4일차 밤,발코니,솔,,,,,치타 상점,,
4일차 밤,발코니,파이아,그럼 그 재료들로 맛있는 음료 만들고! 나는 다음에 또 올게. ,,,웃음,치타 상점에서 물건 구매 후 창을 닫을 시,,
4일차 밤,발코니,파이아,그때도 꼭 와 줘야 해~,,,웃음,,,
4일차 밤,빵집,,,,,,,,
4일차 밤,빵집,러스크,아!!!!!,,,,,,
4일차 밤,빵집,러스크,드디어 왔구만!!!!!,,,,,,
4일차 밤,빵집,러스크,잘왔네 잘 왔어~~,,,,,,
4일차 밤,빵집,솔,저를 급하게 부르셨다고 들었어요,,,,,,
4일차 밤,빵집,솔,어떤 일 때문에 그러셨을까요? ,,,,,,
4일차 밤,빵집,러스크,그게 말이지...,,,,,,
4일차 밤,빵집,러스크,내가 요즘 신메뉴 개발에 몰두하고 있다는 건 자기도 분명히 알고 있지??,,,,,,
4일차 밤,빵집,솔,어...그러셨나요?,,,,,,
4일차 밤,빵집,솔,(분명히 처음 듣는 소식인데..),,,,,,
4일차 밤,빵집,러스크,이건 분명히 세계에 도움이 되는 아주 위대한 빵이 될 거야!,,,,,,
4일차 밤,빵집,러스크,나는 말이야... 항상 고민이었다네.,,,,,,
4일차 밤,빵집,러스크,어째서 밀가루는 근육에 도움이 안 되는 걸까!!!!!!!,,,,,,
4일차 밤,빵집,러스크,이건 나 말고도 근육에 진심인 많은 이들의 평생 고민이자 숙원의 사업이었을 테지..,,,,,,
4일차 밤,빵집,솔,....,,,,,,
4일차 밤,빵집,러스크,그래서 말일세.,,,,,,
4일차 밤,빵집,러스크,나는 이 열차에서 매일 밤 연구에 매진하여 오늘에서야 드디어 해결책을 찾았다네!,,,,,,
4일차 밤,빵집,러스크,그.러.나... 신께서는 참으로도 무심하시지.,,,,,,
4일차 밤,빵집,러스크,이건 나 혼자만으로는 해결하지 못하는 문제인 것이었어.,,,,,,
4일차 밤,빵집,러스크,그런데!! 바로 자네가 찾아오고 만 것이야!!,,,,,,
4일차 밤,빵집,솔,...음 이해가 잘 안되는데요...,,,,,,
4일차 밤,빵집,솔,제가 어떤 것을 도와드릴 수 있다는 걸까요?,,,,,,
4일차 밤,빵집,러스크,우리 열차에는 가끔 오는 방문 상인이 있다는 것을 아나?,,,,,,
4일차 밤,빵집,러스크,바로 그자가 파는 파우더가 필요해...,,,,,,
4일차 밤,빵집,러스크,"푸로틴 파우더는 쉽게 구할 수 없는 상품이라, 방방곡곡을 다니는 그에게서 얻을 수 있지.",,,,,,
4일차 밤,빵집,솔,음...그러면 러스크씨가 그 분에게 구매하시면 되는 거 아닌가요??,,,,,,
4일차 밤,빵집,러스크,떽!!!!,,,,,,
4일차 밤,빵집,러스크,내가 아까 말했지 않나,,,,,,
4일차 밤,빵집,러스크,신께서는 참으로도 무심하다고 말이야,,,,,,
4일차 밤,빵집,러스크,사실은...내가 모종의 이유로 그의 역린을 건드려서 말이지,,,,,,
4일차 밤,빵집,러스크,그는 나에게 아무것도 팔지 않는다네,,,,,,
4일차 밤,빵집,러스크,그래서 당신의 도움이 필요한 거 아니겠나,,,,,,
4일차 밤,빵집,러스크,그가 곧 있으면 기차에 방문할텐데...,,,,,,
4일차 밤,빵집,러스크,그때 푸로틴 파우더를 사서 나에게 준다면 아주 큰 보답을 하겠네,,,,,,
4일차 밤,빵집,솔,음....사정은 잘 모르겠지만..,,,,,,
4일차 밤,빵집,솔,알겠어요.,,,,,,
4일차 밤,빵집,솔,아! 아저씨,,,,,,
4일차 밤,빵집,솔,저도 한가지 여쭤볼 게 있는데요,,,,,,
4일차 밤,빵집,솔,혹시 이 편지지에 대해서 아시는 게 있으실까요?,,,,,,
4일차 밤,빵집,러스크,음........,,,,,,
4일차 밤,빵집,러스크,흠.......,,,,,,
4일차 밤,빵집,러스크,글쎄다....,,,,,,
4일차 밤,빵집,러스크,요즘은 편지를 잘 쓰지 않는 시대라서 말이다..,,,,,,
4일차 밤,빵집,러스크,닥터 햄씨가 아무래도 오래 사셨다 보니 편지에 대해서 정통하실 것 같은데,,,,,,
4일차 밤,빵집,러스크,의무실로 한 번 가보지 그래?,,,,,,
4일차 밤,빵집,솔,역시 그렇죠..?,,,,,,
4일차 밤,빵집,솔,감사합니다. 아저씨,,,,,,
4일차 밤,빵집,솔,닥터 햄께 여쭤볼게요!,,,,,,
4일차 밤,빵집,솔,오늘은 너무 늦었어.,,,,,,
4일차 밤,빵집,솔,의무실은 내일 밤 들르자. ,,,,,,
5일차 아침,객실,,(객실 자동 이동),,,,,,
5일차 아침,객실,나레이션,띠띠-,,시계 알람 소리 (평소보다 짧게),,,,
5일차 아침,객실,나레이션,탁.,,탁 효과음,,,,
5일차 아침,객실,솔,벌써 일어났습니다~ 자 오늘도 출근해 볼까.,,,웃음,,,
5일차 아침,객실,나레이션,지금은 일할 시간이야.,,,,카페 외 다른 장소로 이동 시,,
5일차 낮,카페,,,,카페 bgm,,카운터 진입 시 1인칭으로 전환,,
5일차 낮,카페,,랜덤 등장인물 룸서비스 주문 3건,,,,3건,,
5일차 낮,카페,,,,,,,,
5일차 낮,카페,루카스,...안녕하세요. 아이스 아메리카노...시원하게 한 잔 부탁드려요.,,,곤란,아메리카노 5 -아이스,,
5일차 낮,카페,,,음료제작창,,,음료 제작,,
5일차 낮,카페,나레이션,풀죽은 표정으로 뚫어져라 솔을 쳐다보는 루카스. 그를 발견한 솔이 말을 건다.,,,,,,
5일차 낮,카페,솔,"…저기, 그렇게 쳐다보지 말고 앉아요.",,,일반,,,
5일차 낮,카페,솔,아쉽지만 오늘도 특별한 얘기는 없었어요.,,,일반,,,
5일차 낮,카페,루카스,"앗, 네. 감사합니다.",,,찡그림,,,
5일차 낮,카페,루카스,"…그, 괜찮아요. 사실 진짜 만날 수 있을 거라고는 생각 안 했으니까요.",,,곤란,,,
5일차 낮,카페,루카스,저만 혼자 들떠서 기차에 탔을 수도 있으니까…,,,곤란,,,
5일차 낮,카페,솔,...?,,,당황,,,
5일차 낮,카페,루카스,"아 그러니까, 저는 사실 펜팔 친구를…만나러 이 기차에 탄 거예요.",,,곤란,,,
5일차 낮,카페,루카스,"그런데 문제는 저는 그 친구의 생김새나, 나이나, 사는 곳을 모른다는 거죠...",,,곤란,,,
5일차 낮,카페,루카스,그냥 서로 만나서 얘기하고 싶다는 마음에 이 기차에서 만나자고 했어요.,,,곤란,,,
5일차 낮,카페,루카스,정확히 언제 어디서 만나자고 얘기도 안 하고 여기 와버렸어요. 바보같이…,,,곤란,,,
5일차 낮,카페,루카스,저만 만나고 싶었을지도 몰라요. 제가 너무 성급했던 것 같아요...,,,곤란,,,
5일차 낮,카페,솔,아. 그렇게 된 거였군요.,,,일반,,,
5일차 낮,카페,솔,그 친구분과는 알고 지낸 기간이 얼마나 되나요?,,,일반,,,
5일차 낮,카페,루카스,꽤 오래됐어요. 1년 정도?,,,일반,,,
5일차 낮,카페,루카스,"웃긴 게, 생김새나 나이, 사는 곳 빼고 서로의 취향이나 취미 이런 건 다 알아요.",,,일반,,,
5일차 낮,카페,루카스,둘이 너무 잘 맞아서 빨리 친해졌어요.,,,일반,,,
5일차 낮,카페,솔,"그렇다면, 단지 승선 지가 엇갈린 것 아닐까요?",,,웃음,,,
5일차 낮,카페,솔,너무 슬퍼하지 말고 천천히 기다려 봐요.,,,웃음,,,
5일차 낮,카페,솔,"꼭 올 거예요, 그 친구분도.",,,웃음,,,
5일차 낮,카페,솔,저도 계속 소식 전해드릴게요.,,,웃음,,,
5일차 낮,카페,루카스,…!,,,일반,,,
5일차 낮,카페,루카스,정말 감사해요.,,,일반,,,
5일차 낮,카페,루카스,친구 찾을 때까지만 신세 좀 지겠습니다.,,,일반,대사 이후 루카스 상반신 일러스트 사라짐,,
5일차 낮,카페,나레이션,주문 4건이 들어왔다,,,,4건,,
5일차 낮,카페,,,,,,,,
5일차 낮,카페,가이,자네 안녕한가~ 오늘은 내 긴장을 녹여줄 따뜻한 에스프레소가 마시고 싶다네.,,,일반,에스프레소 4,,
5일차 낮,카페,,,음료제작창,,,음료제작,,
5일차 낮,카페,가이,"그래서, 이유를 들었는가?", ,,일반,,,
5일차 낮,카페,솔,네…너무하셨던데요.,,,웃음,,,
